,mc2,r_sqr,intercept,coef,t_oos,p_oos
0,Core Treats,0.09569735934004509,0.43852996333797295,0.43852996333797295,4.352307714363219,2.2606825130893997e-05
1,Core Food,0.46292336231540676,1.4685546352790455,1.4685546352790455,12.421182255433289,5.993172705249547e-26
2,Prescription Food & Treats,0.08721356684169856,-0.5948963208088499,-0.5948963208088499,-4.1355564331060926,5.437490366544127e-05
3,Premium,0.2698406551663194,0.6002657145405926,0.6002657145405926,8.133385982168852,6.744721651018306e-14
4,Health & Wellness,0.45086844799500203,0.7607847911173548,0.7607847911173548,12.123087466133997,4.4263358707450445e-25
5,Toys,0.042036102649416596,0.18006856628906837,0.18006856628906837,2.8026132205271805,0.005627659044577535
6,Containment & Gear,0.10221769809742864,-0.04239349024086092,-0.04239349024086092,-2.782479572924088,0.0069763367188813595
7,Beds & Furniture,0.1058564258676068,0.05880383376819766,0.05880383376819766,2.8373273190562065,0.005990258292477924
8,"Leashes, Collars & Bowls",0.09239019095192502,0.05399650531141393,0.05399650531141393,2.630981523891717,0.010523435564589916
9,Grooming & Waste Management,0.512465093828193,0.28893387087789907,0.28893387087789907,13.716894624074829,9.870350345604783e-30
10,Technology,0.20492879920997698,0.10207285956471553,0.10207285956471553,6.792427346787756,1.5724732072855075e-10
11,Litter,0.49616143543396063,0.5608204004527861,0.5608204004527861,13.276766433648293,1.9044634041350678e-28
12,Over the Counter,0.3845902890959987,0.3172004118737427,0.3172004118737427,10.576537171376595,1.284865350067715e-20
13,Apparel & People Products,0.5511409347644507,0.40405777144365873,0.40405777144365873,14.82527811895369,5.836974953071133e-33
14,Flea & Tick,0.22393823808173507,0.48880396693596645,0.48880396693596645,7.18691488032914,1.7282473000744466e-11
15,Fish,0.554206336040163,0.3218319455694501,0.3218319455694501,12.565236233581544,4.950874058944268e-24
16,Reptile & Amphibians,0.44891203891850073,0.14585020535865656,0.14585020535865656,7.442599008606333,2.2501041120146335e-10
17,Pet Bird,0.028366867634177617,-0.12596084579933178,-0.12596084579933178,-1.408993499938194,0.16339365565045608
18,Small Pet,0.31027365587535793,0.2658970992151747,0.2658970992151747,8.973472988117885,3.849713378205945e-16
19,Wild Bird,0.08070571127751414,0.060093701418052134,0.060093701418052134,3.9641617725163063,0.00010632444038265288
20,Perishable,0.009048886868484818,0.03291296745778437,0.03291296745778437,0.7879994615388984,0.43343538795154424
21,Equine,0.24086431507310824,0.08055887446124811,0.08055887446124811,7.536210893393825,2.3192410779258597e-12
22,Chicken & Farm,0.2240288714224834,0.30343753804781526,0.30343753804781526,2.1492612340232427,0.047259324807914706
23,Personalized,0.004684849502347155,-0.08259665946209774,-0.08259665946209774,-0.7293008778570582,0.4673266088027298
