,mc2,corr_oos,corr_lag_oos,corr_exc_mc2_oos,corr_exc_mc2_lag_oos
0,Core Treats,0.21463346779802475,0.2457416001719799,-0.16291374417770899,0.04691799567812318
1,Core Food,0.5585680142642168,0.6535363370806409,-0.1443352203913106,0.044673696785412643
2,Prescription Food & Treats,0.6349110015444402,0.6451429336516523,-0.1200055424774647,0.062403748914455416
3,Premium,0.3336031057550045,0.38284500309816766,-0.15973223389334162,0.0992929557549827
4,Health & Wellness,-0.3052264191504698,-0.33372956157766287,-0.1616909590411428,0.042826338342041526
5,Toys,-0.10502156071776325,-0.040503799997470884,-0.17100703062376163,-0.04834894766452692
6,Containment & Gear,0.4278715772898259,0.4540110226576852,-0.21067030272829634,0.023966533912799893
7,Beds & Furniture,-0.036129822412737295,-0.021782871139882774,-0.2060794765852667,0.0004133146948026177
8,"Leashes, Collars & Bowls",0.1359986002974368,0.14562155541947336,-0.19344579972997356,0.03943952254706174
9,Grooming & Waste Management,0.018525778019448904,0.06458098863162154,-0.18670846887329345,0.001118298800981755
10,Technology,-0.47885026366039024,-0.44665461121157324,-0.17334001653740283,0.01583150083251517
11,Litter,0.022673529002642925,0.03220829803108284,-0.18070026228167815,0.016985189878676678
12,Over the Counter,0.01895572781648731,0.011216631469796026,-0.19399005437517935,-0.059641788203428026
13,Apparel & People Products,0.4940755447084561,0.5084662173269768,-0.16428179542578317,0.05211661265982644
14,Flea & Tick,0.455278898316873,0.5381580444871584,-0.17315525145287092,-0.05895840092167211
15,Fish,0.6861538461538461,0.7832478632478632,-0.18545918850750892,0.015554070750280905
16,Reptile & Amphibians,-0.5060799580089231,-0.47556644213104715,-0.19287239999623806,0.01657055749470691
17,Pet Bird,0.03602484472049689,0.05828011547546146,-0.17953877745184005,0.04652435624832511
18,Small Pet,-0.05914338825731231,-0.05669014529774023,-0.18340627071441182,0.007485496736515643
19,Wild Bird,0.5029527434590726,0.5139796911948811,-0.15997344079054093,0.036265888801583886
20,Perishable,-0.044294944720443756,0.023728151652760016,-0.2668256712683179,-0.05694213362304498
21,Equine,0.7220248106324055,0.7271083347032714,-0.18851889269499814,-0.060728077914151586
22,Chicken & Farm,0.5335397316821465,0.6965944272445821,-0.17821374709668258,0.029205001419652515
23,Personalized,0.7162971684258169,0.7581757791278538,-0.2892039477920476,-0.078376397616018
