,mc2,corr_oos,corr_lag_oos,corr_exc_mc2_oos,corr_exc_mc2_lag_oos
0,Core Treats,0.4315440681703807,0.44031981724728725,0.11618301994013776,-0.20823976051285367
1,Core Food,0.014017449717558849,0.0071642229899746114,0.16417085154672578,-0.22244336959190156
2,Prescription Food & Treats,-0.48337295504885963,-0.4712756448984194,0.33973272102299085,0.004535673687741576
3,Premium,0.09630140626855375,0.06383339647499872,0.14090649906303315,0.18078623307875868
4,Health & Wellness,0.09197007650508054,0.09653889432347004,0.1418574914085505,-0.10978377961197644
5,Toys,0.7469168961442118,0.8009737010251567,0.15058446188569136,-0.08724829870564553
6,Grooming & Waste Management,0.2312059304159999,0.2526477090884417,0.15297089672524747,-0.0999571666357499
7,Technology,0.43921402319051045,0.4371162001766234,0.1908527533682794,-0.08745323524306783
8,Litter,-0.4789285896036777,-0.5127310560867623,0.152323992114023,-0.11216941609330165
9,Over the Counter,0.19174441617496246,0.2706983319240336,0.1512045471789498,-0.15929288631712113
10,Apparel & People Products,0.5336865496943755,0.5625922386641863,0.1486346667146691,-0.0823628866503787
11,Flea & Tick,0.32913861787618154,0.3532372066779683,0.17728535706311008,-0.17897025873134265
12,Fish,0.6509038682280563,0.6583564695704294,0.17360913298019448,-0.04580414145561748
13,Small Pet,0.11684977749631045,0.1579125930868358,0.14175792222718392,0.055772615343555085
14,Wild Bird,0.0857739816934589,0.11707761163973016,0.1260319975331473,-0.07703190973753513
15,Equine,0.5075883517186038,0.5076109697564894,0.07980542639390756,0.03725514128959935
16,Personalized,0.2749256114852733,0.20840594561517728,0.09356178587552648,-0.1166813617285739
