,mc2,r2,n_features_selected,perc_reduction_features,feature,coeff,feature_importance
0,Core Treats,0.9898299192231189,10,28.57142857142857,total_views_mc2,-0.0,0.0
1,Core Food,0.993107682080435,11,21.42857142857143,total_views_mc2,5322219.861465853,5322219.861465853
2,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,total_views_mc2,6999328.963958483,6999328.963958483
3,Premium,0.9934626794809029,10,28.57142857142857,total_views_mc2,621316.2208911545,621316.2208911545
4,Health & Wellness,0.9931007021249699,9,35.71428571428571,total_views_mc2,1426023.9642814235,1426023.9642814235
5,Toys,0.9972272104274261,9,35.71428571428571,total_views_mc2,0.0,0.0
6,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,total_views_mc2,430813.0090080634,430813.0090080634
7,Technology,0.8737832166171411,4,71.42857142857143,total_views_mc2,208508.04675224633,208508.04675224633
8,Litter,0.9935630391173818,9,35.71428571428571,total_views_mc2,2568273.5167912035,2568273.5167912035
9,Over the Counter,0.9021825084776625,9,35.71428571428571,total_views_mc2,177482.2632802834,177482.2632802834
10,Apparel & People Products,0.9892847222030634,6,57.14285714285714,total_views_mc2,0.0,0.0
11,Flea & Tick,0.96554167839405,6,57.14285714285714,total_views_mc2,0.0,0.0
12,Fish,0.922632945977137,3,78.57142857142857,total_views_mc2,167958.46084898754,167958.46084898754
13,Small Pet,0.9836511592089335,7,50.0,total_views_mc2,334611.65165944153,334611.65165944153
14,Wild Bird,0.9716544910682431,7,50.0,total_views_mc2,0.0,0.0
15,Equine,0.977923938696317,12,14.28571428571429,total_views_mc2,60270.916744089,60270.916744089
16,Personalized,0.9914771759651507,4,71.42857142857143,total_views_mc2,65214.293425068936,65214.293425068936
17,Core Treats,0.9898299192231189,10,28.57142857142857,conversions_purchase_mc2,2695185.576685199,2695185.576685199
18,Core Food,0.993107682080435,11,21.42857142857143,conversions_purchase_mc2,18484467.398149543,18484467.398149543
19,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,conversions_purchase_mc2,1265339.815894072,1265339.815894072
20,Premium,0.9934626794809029,10,28.57142857142857,conversions_purchase_mc2,3436491.5041857115,3436491.5041857115
21,Health & Wellness,0.9931007021249699,9,35.71428571428571,conversions_purchase_mc2,319837.1439901805,319837.1439901805
22,Toys,0.9972272104274261,9,35.71428571428571,conversions_purchase_mc2,4638419.175797805,4638419.175797805
23,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,conversions_purchase_mc2,-0.0,0.0
24,Technology,0.8737832166171411,4,71.42857142857143,conversions_purchase_mc2,219656.47909978157,219656.47909978157
25,Litter,0.9935630391173818,9,35.71428571428571,conversions_purchase_mc2,350374.8954436868,350374.8954436868
26,Over the Counter,0.9021825084776625,9,35.71428571428571,conversions_purchase_mc2,-0.0,0.0
27,Apparel & People Products,0.9892847222030634,6,57.14285714285714,conversions_purchase_mc2,1231668.3487492227,1231668.3487492227
28,Flea & Tick,0.96554167839405,6,57.14285714285714,conversions_purchase_mc2,2504070.2036632774,2504070.2036632774
29,Fish,0.922632945977137,3,78.57142857142857,conversions_purchase_mc2,0.0,0.0
30,Small Pet,0.9836511592089335,7,50.0,conversions_purchase_mc2,0.0,0.0
31,Wild Bird,0.9716544910682431,7,50.0,conversions_purchase_mc2,85687.91861877951,85687.91861877951
32,Equine,0.977923938696317,12,14.28571428571429,conversions_purchase_mc2,98363.40674354289,98363.40674354289
33,Personalized,0.9914771759651507,4,71.42857142857143,conversions_purchase_mc2,20474.369919566412,20474.369919566412
34,Core Treats,0.9898299192231189,10,28.57142857142857,conv_purc_mc2_rate,-3102343.9172701472,3102343.9172701472
35,Core Food,0.993107682080435,11,21.42857142857143,conv_purc_mc2_rate,-3221139.407941627,3221139.407941627
36,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,conv_purc_mc2_rate,-627035.75329031,627035.75329031
37,Premium,0.9934626794809029,10,28.57142857142857,conv_purc_mc2_rate,-1787086.9943281559,1787086.9943281559
38,Health & Wellness,0.9931007021249699,9,35.71428571428571,conv_purc_mc2_rate,-0.0,0.0
39,Toys,0.9972272104274261,9,35.71428571428571,conv_purc_mc2_rate,-1313773.0198235346,1313773.0198235346
40,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,conv_purc_mc2_rate,-352012.2437930706,352012.2437930706
41,Technology,0.8737832166171411,4,71.42857142857143,conv_purc_mc2_rate,-0.0,0.0
42,Litter,0.9935630391173818,9,35.71428571428571,conv_purc_mc2_rate,-0.0,0.0
43,Over the Counter,0.9021825084776625,9,35.71428571428571,conv_purc_mc2_rate,-86403.01492717232,86403.01492717232
44,Apparel & People Products,0.9892847222030634,6,57.14285714285714,conv_purc_mc2_rate,0.0,0.0
45,Flea & Tick,0.96554167839405,6,57.14285714285714,conv_purc_mc2_rate,0.0,0.0
46,Fish,0.922632945977137,3,78.57142857142857,conv_purc_mc2_rate,-0.0,0.0
47,Small Pet,0.9836511592089335,7,50.0,conv_purc_mc2_rate,-32545.35562272533,32545.35562272533
48,Wild Bird,0.9716544910682431,7,50.0,conv_purc_mc2_rate,-29478.021595518632,29478.021595518632
49,Equine,0.977923938696317,12,14.28571428571429,conv_purc_mc2_rate,-105255.74330302096,105255.74330302096
50,Personalized,0.9914771759651507,4,71.42857142857143,conv_purc_mc2_rate,0.0,0.0
51,Core Treats,0.9898299192231189,10,28.57142857142857,total_views,7037768.930231447,7037768.930231447
52,Core Food,0.993107682080435,11,21.42857142857143,total_views,7671082.090304926,7671082.090304926
53,Prescription Food & Treats,0.9811462214401298,5,64.28571428571428,total_views,0.0,0.0
54,Premium,0.9934626794809029,10,28.57142857142857,total_views,339519.37651466875,339519.37651466875
55,Health & Wellness,0.9931007021249699,9,35.71428571428571,total_views,0.0,0.0
56,Toys,0.9972272104274261,9,35.71428571428571,total_views,327888.9745710195,327888.9745710195
57,Grooming & Waste Management,0.9873181777203262,11,21.42857142857143,total_views,294788.4043495865,294788.4043495865
58,Technology,0.8737832166171411,4,71.42857142857143,total_views,0.0,0.0
