,mc2,r_sqr,intercept,coef,t_oos,p_oos
0,Core Treats,0.14405003955823148,0.3560434646686762,0.3560434646686762,3.576344107864162,0.0006101382537500059
1,Core Food,0.3406302021143037,0.7704520231448472,0.7704520231448472,6.265905589694136,2.0449038042501707e-08
2,Prescription Food & Treats,0.001849591369871173,0.06926263723642016,0.06926263723642016,0.37527246234154454,0.7085031456941966
3,Premium,0.11174118410633249,0.36634723779981837,0.36634723779981837,3.092029775984433,0.002779353742837105
4,Health & Wellness,0.18094795373305805,0.35304069888005307,0.35304069888005307,4.097584180119621,0.00010346687187429394
5,Toys,0.011212588904485066,0.03454206171818508,0.03454206171818508,0.9283426037828576,0.3561689539523921
6,Containment & Gear,0.10221769809742864,-0.04239349024086092,-0.04239349024086092,-2.782479572924088,0.0069763367188813595
7,Beds & Furniture,0.1058564258676068,0.05880383376819766,0.05880383376819766,2.8373273190562065,0.005990258292477924
8,"Leashes, Collars & Bowls",0.09239019095192502,0.05399650531141393,0.05399650531141393,2.630981523891717,0.010523435564589916
9,Grooming & Waste Management,0.18172528049055914,0.11462452229625328,0.11462452229625328,4.10832604820166,9.961055775339234e-05
10,Technology,0.08740724960228263,0.042036933682828855,0.042036933682828855,2.6980004408108673,0.008589979177956664
11,Litter,0.18613285271063051,0.383287913423368,0.383287913423368,4.169092719923609,8.026895566675599e-05
12,Over the Counter,0.26127305021672775,0.2751012267236297,0.2751012267236297,5.184562716106762,1.7353926279982397e-06
13,Apparel & People Products,0.20465272286980984,0.2299635666967777,0.2299635666967777,4.422187579516487,3.208232736518637e-05
14,Flea & Tick,0.03815712048223818,0.13832494579554536,0.13832494579554536,1.7363710072673813,0.08655036320241997
15,Fish,0.7405702332391538,0.38288001149957274,0.38288001149957274,8.277112236035808,1.7182471378275695e-08
16,Reptile & Amphibians,0.44891203891850073,0.14585020535865656,0.14585020535865656,7.442599008606333,2.2501041120146335e-10
17,Pet Bird,0.028366867634177617,-0.12596084579933178,-0.12596084579933178,-1.408993499938194,0.16339365565045608
18,Small Pet,0.0020558807051992423,0.01776608352237156,0.01776608352237156,0.3956877814793848,0.6934439561578973
19,Wild Bird,0.03423234415043386,0.03633365192805966,0.03633365192805966,1.6413030921485963,0.10486674101309378
20,Perishable,0.009048886868484818,0.03291296745778437,0.03291296745778437,0.7879994615388984,0.43343538795154424
21,Equine,0.17165872475294597,0.05835440659631151,0.05835440659631151,3.968579511477944,0.00016257169415265644
22,Chicken & Farm,0.2240288714224834,0.30343753804781526,0.30343753804781526,2.1492612340232427,0.047259324807914706
23,Personalized,0.012309609486309214,-0.10179872929846168,-0.10179872929846168,-0.8279289491056064,0.411288912253837
