,mc2,r2,n_features_selected,perc_reduction_features,feature,coeff,feature_importance
0,Core Treats,0.9474519275439929,5,64.28571428571428,total_views_mc2,8370190.599168826,8370190.599168826
1,Core Food,0.9404157188825747,4,71.42857142857143,total_views_mc2,45939454.1000735,45939454.1000735
2,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,total_views_mc2,0.0,0.0
3,Premium,0.990197135081476,11,21.42857142857143,total_views_mc2,1743088.6094878342,1743088.6094878342
4,Health & Wellness,0.982506502020755,7,50.0,total_views_mc2,2587473.7505178647,2587473.7505178647
5,Toys,0.9846228539613054,5,64.28571428571428,total_views_mc2,2793180.9670901056,2793180.9670901056
6,Containment & Gear,0.958323155055493,7,50.0,total_views_mc2,1246480.3585566152,1246480.3585566152
7,Beds & Furniture,0.9818795155979155,6,57.14285714285714,total_views_mc2,4153171.5877793324,4153171.5877793324
8,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,total_views_mc2,1038564.75564883,1038564.75564883
9,Grooming & Waste Management,0.9365487887316618,7,50.0,total_views_mc2,1843449.644088807,1843449.644088807
10,Technology,0.941962838924514,10,28.57142857142857,total_views_mc2,0.0,0.0
11,Litter,0.9540921226254634,4,71.42857142857143,total_views_mc2,4886000.904149142,4886000.904149142
12,Over the Counter,0.934570139349339,7,50.0,total_views_mc2,477423.37777789857,477423.37777789857
13,Apparel & People Products,0.9840368683869404,10,28.57142857142857,total_views_mc2,0.0,0.0
14,Flea & Tick,0.9424654613516299,6,57.14285714285714,total_views_mc2,0.0,0.0
15,Fish,0.8523385821199098,14,0.0,total_views_mc2,5769.8565785903465,5769.8565785903465
16,Reptile & Amphibians,0.9481254873191983,7,50.0,total_views_mc2,134477.56312768487,134477.56312768487
17,Pet Bird,0.9477105297409166,8,42.85714285714286,total_views_mc2,385886.4708905701,385886.4708905701
18,Small Pet,0.9857534746963389,5,64.28571428571428,total_views_mc2,997471.6598947033,997471.6598947033
19,Wild Bird,0.8818545055591201,7,50.0,total_views_mc2,336646.6885900552,336646.6885900552
20,Perishable,0.8004946407366003,7,50.0,total_views_mc2,0.0,0.0
21,Equine,0.9775651941524515,8,42.85714285714286,total_views_mc2,498128.56695096777,498128.56695096777
22,Chicken & Farm,0.24042276955896758,1,92.85714285714286,total_views_mc2,0.0,0.0
23,Personalized,0.9534351679012671,4,71.42857142857143,total_views_mc2,0.0,0.0
24,Core Treats,0.9474519275439929,5,64.28571428571428,conversions_purchase_mc2,0.0,0.0
25,Core Food,0.9404157188825747,4,71.42857142857143,conversions_purchase_mc2,0.0,0.0
26,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,conversions_purchase_mc2,9672964.139266403,9672964.139266403
27,Premium,0.990197135081476,11,21.42857142857143,conversions_purchase_mc2,1996589.9246341903,1996589.9246341903
28,Health & Wellness,0.982506502020755,7,50.0,conversions_purchase_mc2,207845.43619912872,207845.43619912872
29,Toys,0.9846228539613054,5,64.28571428571428,conversions_purchase_mc2,3097820.9132912382,3097820.9132912382
30,Containment & Gear,0.958323155055493,7,50.0,conversions_purchase_mc2,0.0,0.0
31,Beds & Furniture,0.9818795155979155,6,57.14285714285714,conversions_purchase_mc2,0.0,0.0
32,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,conversions_purchase_mc2,0.0,0.0
33,Grooming & Waste Management,0.9365487887316618,7,50.0,conversions_purchase_mc2,0.0,0.0
34,Technology,0.941962838924514,10,28.57142857142857,conversions_purchase_mc2,1311528.758946162,1311528.758946162
35,Litter,0.9540921226254634,4,71.42857142857143,conversions_purchase_mc2,0.0,0.0
36,Over the Counter,0.934570139349339,7,50.0,conversions_purchase_mc2,0.0,0.0
37,Apparel & People Products,0.9840368683869404,10,28.57142857142857,conversions_purchase_mc2,1439719.5149363512,1439719.5149363512
38,Flea & Tick,0.9424654613516299,6,57.14285714285714,conversions_purchase_mc2,4099262.733174986,4099262.733174986
39,Fish,0.8523385821199098,14,0.0,conversions_purchase_mc2,33881.93857606926,33881.93857606926
40,Reptile & Amphibians,0.9481254873191983,7,50.0,conversions_purchase_mc2,0.0,0.0
41,Pet Bird,0.9477105297409166,8,42.85714285714286,conversions_purchase_mc2,0.0,0.0
42,Small Pet,0.9857534746963389,5,64.28571428571428,conversions_purchase_mc2,0.0,0.0
